Navn,Nationalitet,År,Note,Kolonne1
Andrew John,GB,1974,,
Davie Craig,SCO,1974,,
Bill Wallach,CAN,1974,,
Solaris,DK,1974,,
Jens Christensen,DK,1974,,
Peter Møller,DK,1974,,
Rod Sinclair,SCO,1974,,
Jørgen og Erik,DK,1974,,
Rod Sinclair,SCO,1974,,
Fætter Dun,DK,1974,,
Solaris,DK,1974,,
Harmonikalarven,DK,1974,,
Benny Holst & Arne Würgler,DK,1974,,
Slesvigske Fodregiments Musikkorps,DK,1975,,
Brugsjazz,DK,1975,,
Treenighedens Drengekor,DK,1975,,
Hotcha,DK,1975,,
Radisserne,DK,1975,,
Paddy Doyles,DK,1975,,
Alex Campbell,SCO,1975,,
Kontraband,SCO,1975,,
,IRL,1975,,
,DK,1975,,
Solaris,DK,1975,,
Van Dango,DK,1975,,
Andreas & John,DK,1975,,
Taurus,DK,1975,,
Alrune Rod,DK,1975,,
Græshopperne,DK,1975,,
Leonardo Pedersen’s Jazzkapel,DK,1975,,
Grethe Thordal,DK,1975,,
Omega,DK,1975,,
Teatergruppen ”Møllen”,DK,1975,,
Slesvigske Fodregiments Musikkorps,DK,1976,,
Inter City Seven,DK,1976,,
Alex Campbell,SCO,1976,,
De Gyldne Løver,DK,1976,,
High Speed Grass,SCO,1976,,
,GB,1976,,
Hans Theessink,NL,1976,,
Gibb Todd,GB,1976,,
Bobby Falloon,GB,1976,,
The McCalmans,SCO,1976,,
Van Dango,DK,1976,,
Kjeld Ingrish,DK,1976,,
Per Juul,DK,1976,,
Leonardo Pedersens’s Bigband,DK,1976,,
Tom Luke,USA,1976,,
Ole Rossel,DK,1976,,
Robin McKidd,GB,1976,,
Davie Craig,SCO,1976,,
Derroll Adams,USA,1976,,
Genty Sark,SCO,1976,,
"Svend Asmussen, Putte Wickmann, Ivan Renliden Trio",DK,1976,,
Silkie Miller & J.J. Dion,USA,1976,,
Tannahill Weavers,SCO,1977,,
Have Mercy,GB,1977,,
Derroll Adams,USA,1977,,
Tom Paley,USA,1977,,
Joe Locker,USA,1977,,
The Fureys & Dave Arthur,IRL,1977,,
High Speed Grass,SCO,1977,,
,GB,1977,,
Les Brown,SCO,1977,,
Niels Hausgaard,DK,1977,,
Lasse & Matilde,DK,1977,,
Spillemandslauget Tramp,DK,1977,,
Van Dango,DK,1977,,
Krølle Erik & Jørgen Lang,DK,1977,,
AR,,1977,,
folk,DK,1977,,
Humle,DK,1977,,
Peter Fahrenholz,DK,1977,,
Swing Styrke Syv & Wild Bill Davidson,DK,1977,,
,USA,1977,,
Nana Banana,DK,1977,,
Hanes Wader,D,1977,,
Fiede Kay,D,1977,,
Knut Kiessewetter & Band,D,1977,,
Haster Showband,DK,1977,,
Creole Stompers,DK,1977,,
Fessors Big City Band,DK,1978,,
Tims Fodvarmere,DK,1978,,
Foggy Town Jazzband,D,1978,,
Albert Mangelsdorf,D,1978,,
Peter Fahrenholtz,DK,1978,,
Intercity Band,DK,1978,,
McCalmans,SCO,1978,,
Dan Ar Bras,F,1978,,
McEwans Export,DK,1978,,
,IRL,1978,,
Van Dango,DK,1978,,
Hannes Wader,D,1978,,
Have Mercy,GB,1978,,
The Dirty Storey Band,USA,1978,,
Joe Locker,USA,1978,,
Erik Grip,DK,1978,,
Povl Dissing,DK,1978,,
Fynsk Harmoniforvirring,DK,1978,,
De Gyldne Løver,DK,1978,,
Træskæg,DK,1978,,
Tønder Spillemændene,DK,1978,,
Kontraband,DK,1978,,
High Speed Grass,SCO,1978,,
,GB,1978,,
Tom Luke,USA,1978,,
Hans Theessink,D,1978,,
Rumlekvadrillen,DK,1978,,
Bo Lipari & Jim Wimmer,USA,1978,,
Sweet Pan Steel Band,S,1978,,
,Vestindien,1978,,
Don Partridge & Les Bridger,GB,1978,,
Alex Campbell,SCO,1978,,
Rasmus Lyberth,DK,1978,,
Knut Kiesewetter,D,1978,,
New Victory Band,GB,1979,,
Hamish Imlach,SCO,1979,,
Gerry Lockran,GB,1979,,
Boys of the Lough,GB,1979,,
Wendy Grossman,USA,1979,,
Derroll Adams,USA,1979,,
Jenny Beeching,USA,1979,,
Ian MacKintosh,SCO,1979,,
Max Collie Rhytm Aces,GB,1979,,
Tom Paley & Joe Locker,USA,1979,,
Alan Roberts & Dougie MacLean,SCO,1979,,
High Speed Grass,SCO,1979,,
,GB,1979,,
Totalpetroleum/Monrad & Rislund,DK,1979,,
Fessors Big City Band,DK,1979,,
Bluegrass Connection & Friends,DK,1979,,
Niels Hausgaard /Jens Memphis / Poul Martin,DK,1979,,
Alex Campbell,SCO,1979,,
Povl Dissing,DK,1979,,
Jazzbanden,DK,1979,,
Kork,D,1979,,
Van Dango,DK,1979,,
New Celeste,SCO,1979,,
Kontraband,USA,1979,,
,IRL,1979,,
,DK,1979,,
Paddy Doyles,DK,1979,,
Erik Grip,DK,1979,,
Syncopators,DK,1980,,
Vestre Jazzværk,DK,1980,,
Hamish Imlach,SCO,1980,,
Ian MacKintosh,SCO,1980,,
Finn Th. Bachmann,DK,1980,,
Kontraband,SCO,1980,,
,IRL,1980,,
,DK,1980,,
Telephone Bill & The Smooth Operators,GB,1980,,
De Gyldne Løver,DK,1980,,
Hans Theessink,NL,1980,,
Detour,F,1980,,
,D,1980,,
,USA,1980,,
Alistair Anderson,GB,1980,,
Schmelztiegel,D,1980,,
Colin Browne,SCO,1980,,
Vindscreen Vipers,SCO,1980,,
Derroll Adams,USA,1980,,
Niels Hausgaard & Poul Martin,DK,1980,,
Erik Grip,DK,1980,,
Hannes Wader,D,1980,,
Alex Campbell,SCO,1980,,
High Speed Grass,SCO,1980,,
,GB,1980,,
McCalmans,SCO,1980,,
Van Dango,DK,1980,,
New Celeste,SCO,1980,,
Sand På Gulvet,DK,1980,,
Mike Whellans,SCO,1980,,
Lasse & Mathilde,DK,1980,,
Louises Venner,DK,1980,,
Sebastian,DK,1980,,
Max Collie & His Rythm Aces,GB,1980,,
Fessors Big City Band,DK,1980,,
Rudis Swingtet,DK,1980,,
Sammy Vomácka,CZ,1980,,
,SK,1981,,
Niels Hausgaard & Christian Alvad,DK,1981,,
The Green Field Stringband,DK,1981,,
Tante Tillies Fodvarmere,DK,1981,,
New Orleans Fans,DK,1981,,
Swing Gypsy Rose,D,1981,,
McEwans Export,DK,1981,,
,IRL,1981,,
Dougie MacLean,SCO,1981,,
Sand På Gulvet,DK,1981,,
Hamish Imlach,SCO,1981,,
Brede Big Band,DK,1981,,
Kræn Bysteds,DK,1981,,
The Dubliners,IRL,1981,,
Dick Gaughan,SCO,1981,,
Syncopators,DK,1981,,
Rødtjørnen,DK,1981,,
Van Dango,DK,1981,,
Vic Abraham,GB,1981,,
Bill Hills,USA,1981,,
Liederjan,D,1981,,
Kork,D,1981,,
Plank Road,USA,1981,,
Andy Irvine,IRL,1981,,
Tich Frier,SCO,1981,,
Wally Dugs,SCO,1981,,
Kontraband,DK,1981,,
