Index;Nationalitet;All_Regions;America_Canada;Atlantic_Other
1;NA;NA;NA;NA
2;GB;Atlantic;Atlantic;Atlantic
3;SCO;Atlantic;Atlantic;Atlantic
4;CAN;North America;Canada;Atlantic
5;DK;DK;DK;DK
6;IRL;Atlantic;Atlantic;Atlantic
7;NL;Western Europe;Other;Other
8;USA;North America;USA;Atlantic
9;D;Western Europe;Other;Other
10;F;Western Europe;Other;Other
11;SE;Nordic Countries;Nordic Countries;Other
12;Vestindien;Caribean;Other;Other
13;CZ;Eastern Europe;Other;Other
14;SK;Eastern Europe;Other;Other
15;FR;Southern Europe;Other;Other
16;AUS;Oceania;Other;Other
17;MEX;Mesoamerica;Other;Other
18;NO;Nordic Countries;Nordic Countries;Other
19;IT;Southern Europe;Other;Other
20;UK;Atlantic;Atlantic;Atlantic
21;BE;Western Europe;Other;Other
22;CH;Eastern Europe;Other;Other
23;TR;Eastern Europe;Other;Other
24;E;Southern Europe;Other;Other
25;RCH;South America;Other;Other
26;GH;Africa;Other;Other
27;RA;Southern Europe;Other;Other
28;DDR;Western Europe;Other;Other
29;NIC;South America;Other;Other
30;HUN;Eastern Europe;Other;Other
31;ZW;Africa;Other;Other
32;TZ;Africa;Other;Other
33;KE;Africa;Other;Other
34;RB;Eastern Europe;Other;Other
35;INT;NA;NA;NA
36;AUT;Western Europe;Other;Other
37;NZ;Oceania;Other;Other
38;BG;Eastern Europe;Other;Other
39;ENG;Atlantic;Atlantic;Atlantic
40;AT;Western Europe;Other;Other
41;EC;South America;Other;Other
42;PL;Eastern Europe;Other;Other
43;FI;Nordic Countries;Nordic Countries;Other
44;FO;Nordic Countries;Nordic Countries;Other
45;GL;Arctic;Other;Other
46;EST;Eastern Europe;Other;Other
47;ZA;Africa;Other;Other
48;WAL;Atlantic;Atlantic;Atlantic
49;UG;Africa;Other;Other
50;GRN;Caribean;Other;Other
51;EUS;Southern Europe;Other;Other
